Altium Designer Pick and Place Locations
E:\Projects\Bitcoiner-Expansion-Board\Bitcoiner-Expansion-Board\Project Outputs for Bitcoiner_Expansion_Board\Pick Place\Pick Place for Bitcoiner_EB_Project_V1I1_PCB(Standard Build).csv

========================================================================================================================
File Design Information:

Date:       27/04/25
Time:       13:39
Revision:   9fdb3df8d1b4b7db058aa6ecdb178b7c7b6174ce
Variant:    Standard Build
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R62","2.7500mm","22.4000mm","BottomLayer","90"
"R61","5.9823mm","19.0134mm","BottomLayer","270"
"R60","4.7500mm","22.4000mm","BottomLayer","90"
"R59","7.9823mm","19.0134mm","BottomLayer","270"
"R58","9.2500mm","22.4000mm","BottomLayer","90"
"R57","12.5500mm","19.0000mm","BottomLayer","270"
"R56","11.2500mm","22.4000mm","BottomLayer","90"
"R55","14.5500mm","19.0000mm","BottomLayer","270"
"R54","34.6500mm","14.7000mm","BottomLayer","90"
"R53","38.0500mm","18.1000mm","BottomLayer","270"
"R52","36.7500mm","14.7000mm","BottomLayer","90"
"R51","40.0500mm","18.1000mm","BottomLayer","270"
"R50","41.3500mm","14.7000mm","BottomLayer","90"
"R49","44.7500mm","18.0000mm","BottomLayer","270"
"R48","43.4500mm","14.7000mm","BottomLayer","90"
"R47","46.8500mm","18.0000mm","BottomLayer","270"
"Y1","45.2500mm","20.8000mm","TopLayer","90"
"R46","90.1750mm","28.1000mm","TopLayer","270"
"R45","93.6500mm","27.2400mm","TopLayer","180"
"J11","77.6500mm","20.6400mm","TopLayer","90"
"C33","85.5500mm","20.6400mm","TopLayer","90"
"C29","82.0500mm","7.8400mm","TopLayer","90"
"C17","81.9500mm","11.7400mm","TopLayer","270"
"R42","77.8000mm","2.8400mm","TopLayer","180"
"C32","73.7500mm","7.2400mm","TopLayer","180"
"C31","73.7500mm","9.2400mm","TopLayer","180"
"C30","80.0500mm","7.8400mm","TopLayer","90"
"R43","79.6500mm","4.9400mm","TopLayer","180"
"L1","75.5500mm","13.6400mm","TopLayer","180"
"C16","75.9500mm","4.9400mm","TopLayer","0"
"C13","44.2250mm","39.9650mm","TopLayer","180"
"C12","60.6150mm","20.3650mm","TopLayer","180"
"C3","55.0500mm","15.9400mm","TopLayer","0"
"C1","57.5500mm","8.7400mm","TopLayer","270"
"FB3","59.9500mm","11.4400mm","TopLayer","90"
"C26","59.9500mm","7.7400mm","TopLayer","90"
"U2","52.6500mm","8.1650mm","TopLayer","270"
"R6","60.2250mm","23.6650mm","TopLayer","90"
"R1","50.7900mm","20.6250mm","TopLayer","0"
"FB2","50.5500mm","16.4400mm","TopLayer","90"
"FB1","62.5250mm","23.6650mm","TopLayer","270"
"C27","56.0500mm","13.5400mm","TopLayer","180"
"C25","45.2250mm","35.2400mm","TopLayer","0"
"C24","62.5250mm","32.0650mm","TopLayer","270"
"C23","62.5250mm","35.6650mm","TopLayer","90"
"C22","50.3250mm","41.0650mm","TopLayer","0"
"C21","46.0250mm","32.2150mm","TopLayer","90"
"C20","57.9250mm","23.5150mm","TopLayer","90"
"C19","57.5250mm","40.9650mm","TopLayer","180"
"C18","45.1250mm","28.3650mm","TopLayer","0"
"C15","51.3000mm","13.5400mm","TopLayer","180"
"C4","55.6250mm","23.5650mm","TopLayer","90"
"C2","51.1500mm","22.9000mm","TopLayer","180"
"C28","45.2250mm","37.5400mm","TopLayer","0"
"J3","65.8250mm","57.6400mm","TopLayer","270"
"R41","95.6250mm","21.4900mm","TopLayer","90"
"LED3","95.6250mm","18.0900mm","TopLayer","90"
"R40","29.2500mm","51.0400mm","TopLayer","0"
"R39","21.5500mm","51.0400mm","TopLayer","180"
"U7","90.8750mm","21.4650mm","TopLayer","90"
"U6","77.5500mm","7.9400mm","TopLayer","270"
"U5","87.5250mm","28.3150mm","TopLayer","180"
"U4","79.1250mm","31.1400mm","TopLayer","0"
"U3","40.8000mm","32.5400mm","TopLayer","270"
"U1","54.3000mm","32.9400mm","TopLayer","90"
"SW4","18.2500mm","22.7400mm","TopLayer","270"
"SW3","23.2500mm","22.7400mm","TopLayer","270"
"SW2","28.2500mm","22.7400mm","TopLayer","270"
"SW1","33.2500mm","22.7400mm","TopLayer","270"
"R38","92.8000mm","31.7400mm","TopLayer","0"
"R37","87.5500mm","30.9000mm","TopLayer","0"
"R36","84.9000mm","27.9900mm","TopLayer","270"
"R35","33.4500mm","44.9400mm","TopLayer","270"
"R34","31.2500mm","44.9400mm","TopLayer","270"
"R33","20.2500mm","44.9400mm","TopLayer","270"
"R32","18.0500mm","44.9400mm","TopLayer","270"
"R31","22.4500mm","44.9400mm","TopLayer","270"
"R22","26.8500mm","44.9400mm","TopLayer","270"
"R21","75.4500mm","35.4400mm","TopLayer","270"
"R20","24.6500mm","44.9400mm","TopLayer","270"
"R19","82.8250mm","28.8400mm","TopLayer","270"
"R18","82.8250mm","32.1400mm","TopLayer","90"
"R17","82.2500mm","34.8400mm","TopLayer","0"
"R16","75.4250mm","28.8400mm","TopLayer","270"
"R15","75.4250mm","32.1400mm","TopLayer","90"
"R14","29.0500mm","44.9400mm","TopLayer","270"
"R13","18.2500mm","29.6400mm","TopLayer","180"
"R12","23.2500mm","29.6400mm","TopLayer","180"
"R11","28.2500mm","29.6400mm","TopLayer","180"
"R10","33.2500mm","29.6400mm","TopLayer","180"
"R9","40.8000mm","35.7000mm","TopLayer","180"
"R8","66.2840mm","10.7400mm","TopLayer","90"
"R7","68.2840mm","10.7400mm","TopLayer","90"
"R5","40.8000mm","37.8000mm","TopLayer","0"
"R4","38.9750mm","28.7400mm","TopLayer","270"
"R3","41.2000mm","28.7400mm","TopLayer","270"
"R2","69.4000mm","5.3400mm","TopLayer","180"
"Q1","25.3500mm","51.0400mm","TopLayer","0"
"LED2","64.3840mm","10.4650mm","TopLayer","270"
"LED1","70.1840mm","10.4650mm","TopLayer","270"
"J10","90.1000mm","10.8000mm","TopLayer","0"
"J9","93.3500mm","41.4000mm","TopLayer","90"
"J8","18.7500mm","57.6400mm","TopLayer","270"
"J7","49.5100mm","46.1000mm","TopLayer","270"
"J6","42.3001mm","57.6400mm","TopLayer","270"
"J5","16.5470mm","8.3260mm","TopLayer","0"
"J4","63.3000mm","3.5750mm","TopLayer","0"
"J2","39.4070mm","8.3260mm","TopLayer","0"
"J1","66.7500mm","26.5300mm","TopLayer","180"
"DS1","25.7500mm","37.2300mm","TopLayer","90"
"D1","73.4000mm","34.7650mm","TopLayer","270"
"C14","92.0500mm","16.2400mm","TopLayer","0"
"C11","93.0000mm","29.5600mm","TopLayer","0"
"C10","78.7500mm","34.8400mm","TopLayer","0"
"C9","84.9500mm","34.1400mm","TopLayer","90"
"C8","41.2500mm","18.8000mm","TopLayer","90"
"C7","41.2500mm","22.8000mm","TopLayer","270"
"C6","37.7250mm","32.5650mm","TopLayer","270"
"C5","69.4000mm","7.4400mm","TopLayer","180"
